nome_empresa,categoria_principal,subcategoria1,subcategoria2,coluna_origem
MODOOLAR - construções inteligentes,,,,empresas2
MODUZ - construção modular,,,,empresas2
MONDI ENERGY,,,,empresa4
MONÍ,,,,empresa1
MORADA,,,,empresa3
MORECO - modular rental company,,,,empresas2
MOSHE 3000,,,,empresas2
MUDEii,,,,empresa3
MUDZ,,,,empresa4
MVV Realidade Virtual,,,,empresa3
MYDOOR,,,,empresa3
Mahauz,,,,empresa3
Malu Market,,,,empresa4
Manu 2b,,,,empresa4
Maply,,,,empresas2
Mapzer,,,,empresa1
Marta - inteligência imobiliária,,,,empresa3
MatchHouse,,,,empresa3
Matched,,,,empresa3
Melvin,,,,empresa4
Mercado Obra,,,,empresas2
Metam,,,,empresa4
MethaEnergia,,,,empresa4
Meu Imóvel,,,,empresa3
Meu metro²,,,,empresa3
MeuMobbi,,,,empresa4
MeuPasseioVirtual,,,,empresa3
MeuVidraceiro,,,,empresa4
MigraSeguros,,,,empresa3
Mila,,,,empresa3
Minha Casa Financiada,,,,empresa3
Minha Coleta,,,,empresa4
Minha Quitandinha,,,,empresa4
Morada (ai),,,,empresa3
Morada dos Sonhos,,,,empresa3
Morar Sênior,,,,empresa4
Moviva (Cosimo),,,,empresa4
MuvRental,,,,empresas2
My360 realidade virtual,,,,empresa3
MySide,,,,empresa3
MyTower,,,,empresa1
Mycon,,,,empresa3
M² Info,,,,empresa3
NAVE,,,,empresas2
NETResíduos,,,,empresas2
NEX Energy,,,,empresa4
NEZTI,,,,empresa4
NIMBUS,,,,empresa1
NUTRICAR,,,,empresa4
NanoCapital,,,,empresa3
Neo - New Estate Only,,,,empresa3
NeoCharge,,,,empresa4
Neural Broker - inteligência artificial imobiliária,,,,empresa3
NewSun,,,,empresa4
Newcore,,,,empresa3
Nivu,,,,empresa3
Nok Nox,,,,empresa4
Notificalead,,,,empresa3
OBA APARTMENTS,,,,empresa4
OBRA 3D,,,,empresas2
OBRA NA MÃO - Gestão da Construção,,,,empresas2
OBRAPLAY,,,,empresas2
OITCHAU,,,,empresas2
ON SAFETY,,,,empresas2
OQ Digital,,,,empresa3
ORÇAQUI,,,,empresas2
OTTO,,,,empresa3
Obra Tá On,,,,empresas2
Obra.ai,,,,empresa1
Obra.lean,,,,empresas2
Ohtel - condomínios inteligentes,,,,empresa4
Omar do Rio,,,,empresa4
OnMesh,,,,empresa4
Onii,,,,empresa4
OptPlacer,,,,empresa3
Orbitare,,,,empresa3
OrçaFascio - software para engenharia,,,,empresas2
PHYGITALL,,,,empresas2
PILAR,,,,empresas2
PINEAPPLES,,,,empresa4
PIX FORCE,,,,empresas2
PLIPPE,,,,empresas2
PLUVI - soluções ambientais inteligentes,,,,empresa4
POLEN,,,,empresas2
POLUS,,,,empresa4
POWER2GO,,,,empresa4
PREDIALIZE,,,,empresas2
PRISMA,,,,empresas2
PROGUEST,,,,empresa4
"PROP - drones, soluções aéreas",,,,empresas2
PROSPECTA - relatório de obras,,,,empresa1
Parceiro da Construção,,,,empresas2
Parcelinha Digital,,,,empresa3
Parkside,,,,empresa4
Percento %,,,,empresa3
Personalar,,,,empresa3
Pilar,,,,empresa3
PlacetoBe,,,,empresa3
Play2sell,,,,empresa3
Plaza,,,,empresa3
Plin condomínios,,,,empresa4
Pontte,,,,empresa3
Portal de Repasse,,,,empresa3
Portdata,,,,empresa3
Preservaland,,,,empresa4
Presto,,,,empresa4
PrevSis,,,,empresa1
Procura Bem,,,,empresa3
Produttivo,,,,empresa4
Proprietário Direto,,,,empresa3
Publimovel,,,,empresa3
QZela,,,,empresa4
Quadra Urbana,,,,empresa4
QualiTab,,,,empresas2
Quasar Tech,,,,empresa4
Quem Contrato,,,,empresas2
Quero meu apê,,,,empresa3
Quick2Sell,,,,empresa3
Quires,,,,empresa3
R3KA,,,,empresa3
RAUZEE,,,,empresa3
RECICLA.CLUB,,,,empresas2
REEX,,,,empresa3
REFITT,,,,empresa3
REMOTY,,,,empresa4
RENDALOMAQ,,,,empresas2
RENOVE EXPRESS,,,,empresa4
RENOVE JÁ,,,,empresa4
ROCK,,,,empresa1
ROOFTOP,,,,empresa3
Rankim,,,,empresa3
Realiza (Realiza TI),,,,empresa4
Recruta-Imob,,,,empresa3
Rede Síndicos,,,,empresa4
Rede de Obras,,,,empresa1
Redraw,,,,empresa4
Refresher,,,,empresa1
Regular Easy - regularizações imobiliárias,,,,empresa1
Renova Green,,,,empresa4
Ret Capital - Real Estate Tech,,,,empresa3
RevoluTI,,,,empresa3
Risknow,,,,empresa3
Rubk,,,,empresas2
SAFEB,,,,empresa4
SANSTONE,,,,empresas2
SCOD BRASIL,,,,empresa4
